Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
193,Hunter Tyson,PF,23,DEN,3,0,4.7,0.0,1.3,.000,0.0,1.0,.000,0.0,0.3,.000,.000,0.3,0.7,.500,0.3,0.7,1.0,0.3,0.0,0.0,0.3,0.0,0.3
194,Jonas Valančiūnas,C,31,NOP,4,4,22.5,5.5,10.5,.524,0.0,0.3,.000,5.5,10.3,.537,.524,3.5,4.3,.824,4.5,6.5,11.0,1.3,0.5,0.0,2.5,2.3,14.5
195,Gabe Vincent,PG,27,LAL,5,0,13.8,0.6,2.4,.250,0.2,1.4,.143,0.4,1.0,.400,.292,0.0,0.0,,0.2,1.4,1.6,0.6,0.4,0.0,0.6,1.6,1.4
196,Dean Wade,PF,27,CLE,3,1,21.0,1.3,4.3,.308,1.0,3.3,.300,0.3,1.0,.333,.423,0.0,0.0,,0.3,1.7,2.0,1.7,0.3,0.7,0.7,1.3,3.7
197,Franz Wagner,SF,22,ORL,7,7,37.0,6.0,14.7,.408,1.3,4.9,.265,4.7,9.9,.478,.451,5.6,6.3,.886,1.4,5.4,6.9,4.4,0.7,1.3,1.3,2.9,18.9
198,Moritz Wagner,C,26,ORL,7,0,15.0,2.3,5.1,.444,0.3,1.3,.222,2.0,3.9,.519,.472,1.4,2.4,.588,1.6,2.9,4.4,0.3,0.9,0.4,1.1,3.0,6.3
199,Jarace Walker,PF,20,IND,9,0,3.4,0.3,1.1,.300,0.0,0.3,.000,0.3,0.8,.429,.300,0.2,0.3,.667,0.1,0.3,0.4,0.4,0.2,0.1,0.7,0.2,0.9
200,Cason Wallace,SG,20,OKC,10,0,19.8,1.6,4.1,.390,0.9,2.8,.321,0.7,1.3,.538,.500,0.1,0.2,.500,0.7,0.6,1.3,1.0,0.9,0.2,0.4,1.4,4.2
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
201,Jordan Walsh,SF,19,BOS,3,0,3.7,0.3,1.0,.333,0.0,0.3,.000,0.3,0.7,.500,.333,0.0,0.0,,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.7
202,T.J. Warren,SF,30,MIN,3,0,3.7,0.0,0.7,.000,0.0,0.3,.000,0.0,0.3,.000,.000,0.0,0.0,,0.7,0.3,1.0,0.3,0.0,0.0,0.0,0.0,0.0
203,P.J. Washington,PF,25,DAL,22,22,35.7,4.5,10.6,.427,2.1,6.1,.348,2.4,4.5,.535,.528,1.8,2.5,.709,1.5,5.1,6.6,1.4,0.7,0.8,1.5,3.0,13.0
204,Lindy Waters III,SG,26,OKC,3,0,3.0,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0
205,Peyton Watson,SF,21,DEN,10,0,9.0,0.6,2.4,.250,0.3,1.2,.250,0.3,1.2,.250,.313,0.3,0.6,.500,0.2,1.3,1.5,0.4,0.0,0.6,0.3,0.9,1.8
206,Russell Westbrook,PG,35,LAC,6,0,19.0,2.2,8.3,.260,0.7,2.8,.235,1.5,5.5,.273,.300,1.3,2.2,.615,1.0,3.2,4.2,1.7,1.2,0.5,1.7,1.8,6.3
207,Derrick White,SG,29,BOS,19,19,35.6,5.7,12.7,.452,3.4,8.5,.404,2.3,4.2,.550,.587,1.8,2.0,.921,1.0,3.3,4.3,4.1,0.9,1.2,0.8,2.3,16.7
208,Aaron Wiggins,SG,25,OKC,10,0,15.7,2.3,4.7,.489,0.6,2.0,.300,1.7,2.7,.630,.553,1.0,1.1,.909,0.9,2.3,3.2,1.0,0.6,0.3,0.9,0.8,6.2
209,Jalen Williams,PF,22,OKC,10,10,37.7,7.5,16.0,.469,1.5,3.9,.385,6.0,12.1,.496,.516,2.2,2.7,.815,1.3,5.5,6.8,5.4,1.7,0.5,1.9,2.1,18.7
210,Jaylin Williams,C,21,OKC,10,0,12.7,1.6,3.3,.485,0.9,2.2,.409,0.7,1.1,.636,.621,0.3,0.4,.750,0.4,2.8,3.2,1.5,0.4,0.3,0.3,1.1,4.4
211,Kenrich Williams,PF,29,OKC,7,0,4.6,0.3,1.1,.250,0.0,0.7,.000,0.3,0.4,.667,.250,0.0,0.0,,0.1,1.0,1.1,0.4,0.1,0.0,0.0,0.4,0.6
212,Delon Wright,PG,31,MIA,4,1,26.8,3.0,5.0,.600,1.5,2.5,.600,1.5,2.5,.600,.750,0.5,0.5,1.000,0.5,2.5,3.0,1.8,1.0,0.3,0.0,1.3,8.0
213,Thaddeus Young,PF,35,PHO,1,0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,Ivica Zubac,C,26,LAC,6,6,32.0,7.0,11.7,.600,0.0,0.0,,7.0,11.7,.600,.600,2.2,3.3,.650,3.0,6.3,9.3,1.0,0.8,0.5,1.3,3.5,16.2
